@relation Folio3Classes

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute class {0,1,2}

@data
164.35,175.05,143.78,0
172.47,173.11,132.34,2
167.61,167.19,122.52,2
175.79,170.77,162.15,1
167,169.55,132.84,2
167.22,170.17,158.11,1
171.98,177.48,161.69,0
171.36,170.23,145.77,2
171.27,176.3,162.1,0
176.6,176.44,166.15,1
175.03,172.14,159.69,1
172.23,177.5,143.12,2
171.3,178.58,158.09,0
168.13,176.16,151.45,0
170.49,179.43,148.8,0
166.94,168.03,127.73,2
163.79,171.26,145.34,0
171.08,171.8,163.31,1
169.37,175.4,153.76,2
178.48,177.27,161.63,1
177.33,178.64,164.05,1
170.2,173.16,143.56,2
166.99,175.42,151.73,0
178.43,187.09,165.88,0
168.53,174.41,157.45,1
162.25,164,149.85,1
161.94,166.39,133.61,2
172.96,171.33,155.85,1
171.58,170.39,153.35,2
174.96,173.9,164.86,1
168.09,170.43,138.8,2
159.85,166.71,146.48,1
170.64,177.74,158.07,0
170.11,179.67,155.81,2
171.24,176.39,156.09,1
161.41,167,145.92,1
140.1,148.29,120.97,1
170.57,175.05,158.98,0
176.99,177.76,144.42,2
176.01,184.19,160.88,0
173.68,174.44,163.45,1
170.24,174.13,150.21,2
170.33,171.66,137.11,2
169.58,172.56,143.51,2
170.67,176.44,158.44,0
168.73,173.95,142.87,2
167.72,176.72,150.8,0
170.51,176.36,158.61,0
168.85,177.97,156.3,0
172.46,177.46,162.65,0
181.12,178.95,159.97,1
171.13,170.96,156.32,1
170.9,178.72,156.48,0
171.49,176.72,143.64,2
174.8,174.27,160.52,1
175.86,178.78,145.88,2
167.07,174.35,147.94,0
